,site,city,hd_1000
1,AUTX-C01-EML,AUTX,54.68954882
2,AUTX-C02-RBI,AUTX,447.2245945
3,AUTX-C02-PEA,AUTX,2398.249978
4,AUTX-C02-ZIL,AUTX,800.9268244
5,AUTX-C02-EAS,AUTX,1264.331759
6,AUTX-C02-BRU,AUTX,1380.506599
7,AUTX-C02-BOG,AUTX,998.9741847
8,AUTX-C02-MET,AUTX,1177.28153
9,AUTX-C03-MON,AUTX,825.1973343
10,AUTX-C03-HOR,AUTX,108.731884
11,AUTX-C02-ROY,AUTX,763.0648291
12,AUTX-C03-ONI,AUTX,3.883281573
13,AUTX-H02-BLU,AUTX,1430.342046
14,AUTX_BCG,AUTX,1372.740036
15,AUTX_DNP,AUTX,1674.988785
16,AUTX_CPP,AUTX,1269.833074
17,AUTX_EW/FG,AUTX,1448.14042
18,AUTX_TNP,AUTX,841.7012809
19,AUTX_MFBCP,AUTX,1674.988785
20,AUTX_BRDP,AUTX,111.6443452
21,AUTX_CRWS,AUTX,811.282242
22,AUTX_GVP,AUTX,563.7230417
23,AUTX_EBCGB,AUTX,476.3492063
24,AUTX_WBCG,AUTX,1168.867753
25,AUTX_CF,AUTX,352.5301
26,AUTX-C01-WBP,AUTX,136.9358
