site,city,hd_1000
D03-STB1,CHIL,6740.729597
D05-ADC1,CHIL,1166.926113
D07-ASC1,CHIL,482.8213422
D07-ASC2,CHIL,135.2676415
R05-MTC1,CHIL,398.359968
S05-RES1,CHIL,362.1160067
S07-STJ1,CHIL,1.941640786
R04-SCH1,CHIL,775.6854942
D02-BMT1,CHIL,3128.306914
D02-BMT2,CHIL,4051.557108
D02-HUP1,CHIL,4059.647278
D02-HUP2,CHIL,4129.546346
D02-JBS1,CHIL,6602.873101
D02-MBS1,CHIL,0
D02-MBS2,CHIL,0
D02-MDU1,CHIL,0
D02-MOP1,CHIL,3748.661145
D02-RCP1,CHIL,2440.318862
D02-SCP1,CHIL,3510.486542
D03-AFP1,CHIL,3028.959627
D03-AMP1,CHIL,2008.627394
D03-CHP1,CHIL,3177.17154
D03-GOM1,CHIL,1882.744349
D03-HOR1,CHIL,3351.595604
D03-MFP1,CHIL,2348.090924
D03-MFP2,CHIL,2288.87088
D04-DNP1,CHIL,2219.295419
D04-FGP1,CHIL,1426.135158
D04-RDP1,CHIL,1685.991416
D04-ROS1,CHIL,2837.708009
D04-ROS2,CHIL,2992.392059
D05-BRP1,CHIL,1435.196148
J01-BBS1,CHIL,763.7120427
J01-CLP1,CHIL,2754.541062
J01-LMP1,CHIL,2313.14139
J01-NOR1,CHIL,410.0098127
J01-SEP1,CHIL,9843.471574
J01-SKP1,CHIL,3088.179671
J01-TFS1,CHIL,1174.692676
R02-ALT1,CHIL,2256.510201
R02-DPG1,CHIL,2014.452316
R02-FRP1,CHIL,1607.031358
R02-GFP1,CHIL,2238.711827
R03-AUP1,CHIL,3524.725241
R03-CPG1,CHIL,2983.654675
S02-BNS1,CHIL,2374.303075
S02-BRI1,CHIL,1126.79887
S02-CPR1,CHIL,704.4919987
S02-MCP1,CHIL,1861.709907
S02-PIP1,CHIL,1326.464264
S02-PLP1,CHIL,2514.424819
S02-TNE1,CHIL,1119.355913
S02-TNW1,CHIL,1560.108372
S03-ARP1,CHIL,1545.546066
S03-JKP1,CHIL,1037.159787
S03-JKP2,CHIL,1196.050724
S03-LCP1,CHIL,867.9134316
S03-PSP1,CHIL,1980.149995
S03-VIP1,CHIL,1351.705594
S03-WAP1,CHIL,1037.483394
S04-HAP1,CHIL,1959.43916
S04-SSP1,CHIL,821.6376595
S04-VFP1,CHIL,1519.981129
S04-WEP1,CHIL,1866.564009
D04-EDW1,CHIL,988.6187671
D04-EDW2,CHIL,1064.989971
D04-EDW3,CHIL,1010.624029
D04-EVC1,CHIL,1094.114583
D04-EVC2,CHIL,1063.048331
D05-MIA1,CHIL,637.1817848
D07-BEC1,CHIL,231.7024672
D07-BEC2,CHIL,626.1791536
D07-NOC1,CHIL,618.4125905
