,site,city,hd_1000
1,E01-SGP1,DECO,2989.479598
2,E01-CHE1,DECO,4774.494694
3,E01-CON1,DECO,2181.75703
4,E01-CPW1,DECO,2226.414769
5,E01-CPE1,DECO,1003.50468
6,E02-LIN1,DECO,1981.444423
7,E02-MON1,DECO,1298.957686
8,E02-FTP1,DECO,1335.525254
9,E02-MCN1,DECO,1547.811314
10,E02-VER1,DECO,1270.480288
11,E03-DMP1,DECO,1086.024413
12,E03-SPG1,DECO,1785.015096
13,E03-GEN1,DECO,1310.607531
14,E03-SAC1,DECO,455.961978
15,E03-CWP1,DECO,748.82613
16,E04-SKW1,DECO,125.5594375
17,E04-SKE1,DECO,681.5159161
18,E04-APM1,DECO,648.1844159
19,E04-SCR1,DECO,274.0949577
20,E04-TER1,DECO,493.5003666
21,W01-LIP1,DECO,900.5977181
22,W01-GCP1,DECO,487.3518374
23,W01-BAR1,DECO,868.5606452
24,W01-MAR1,DECO,1584.055275
25,W01-SLP1,DECO,1291.51473
26,W02-WBP1,DECO,1515.450634
27,W02-MOR1,DECO,864.6773636
28,W02-CHP1,DECO,473.7603519
29,W02-HOL1,DECO,810.9586352
30,W02-SUN1,DECO,539.4525318
31,W03-GRA1,DECO,990.2368011
32,W03-CPP1,DECO,699.9615035
33,W03-DAN1,DECO,679.5742753
34,W03-WTP1,DECO,1259.15405
35,W03-MGP1,DECO,277.9782393
36,W04-PVP1,DECO,377.9727398
37,W04-STM1,DECO,490.5879054
38,W04-WES1,DECO,506.1210317
39,W04-APE1,DECO,377.649133
40,W04-WSP1,DECO,193.5168651
