site,city,hd_1000
WL1,FOCO,118.1164812
BW,FOCO,204.843103
NSP,FOCO,42.7160973
LM1,FOCO,380.5615942
Udall1,FOCO,553.691231
Springer1,FOCO,454.343944
McMurry1,FOCO,279.2726665
CC1,FOCO,70.22267511
AR1,FOCO,19.09280107
ELC2,FOCO,14.8859127
ELC1,FOCO,29.4482186
Arapaho1,FOCO,44.33413129
NixFarm,FOCO,170.2171756
RunDeer2,FOCO,43.0397041
RR,FOCO,42.39249051
CL,FOCO,10.35541753
OP,FOCO,1298.634079
FCCO,FOCO,1329.053118
RFM,FOCO,1233.91272
RNA,FOCO,1110.942137
LP,FOCO,900.2741113
NMC,FOCO,834.9055382
PT,FOCO,1030.040437
WP,FOCO,754.6510524
ERP,FOCO,779.5687758
GMP,FOCO,784.7464845
HP,FOCO,567.9299301
HG,FOCO,176.3657048
MD,FOCO,439.4580313
FCR,FOCO,40.45084972
CLPMS,FOCO,312.2805598
