site,city,hd_1000
A01-WMA1,ICIA,68.28103433
A01-RES1,ICIA,116.1748404
A01-WMA2,ICIA,26.21215062
A01-WMA3,ICIA,84.78498101
A02-WMA4,ICIA,4.854101966
A02-RES2,ICIA,23.94690303
A02-MET1,ICIA,280.5670936
A02-FUH1,ICIA,46.59937888
A03-YSC1,ICIA,264.3867538
A03-JOY1,ICIA,843.3193149
A03-CNA1,ICIA,606.439139
A04-PEN1,ICIA,533.3040027
A04-WAT1,ICIA,280.5670936
A04-DOV1,ICIA,311.6333462
A04-AUB1,ICIA,311.3097394
A05-SHI1,ICIA,470.8478907
A05-SAN1,ICIA,479.5852743
A05-CRE1,ICIA,1000.915825
A05-BEN1,ICIA,1095.40901
A06-SHP1,ICIA,523.9194056
A06-SYC1,ICIA,834.5819314
A06-SYC2,ICIA,268.5936421
A06-TTB1,ICIA,243.3523119
A07-UIO1,ICIA,693.4893676
A07-CCG1,ICIA,248.8536275
A07-CBT1,ICIA,248.8536275
A07-CCG2,ICIA,996.7089371
A08-PET1,ICIA,51.77708764
A08-TCP1,ICIA,83.16694702
A08-RES3,ICIA,108.0846704
A08-RES4,ICIA,91.90433056
A09-HRP1,ICIA,599.967003
A09-WCP1,ICIA,1206.406142
A09-TOK1,ICIA,133.0023939
A10-HHP1,ICIA,296.7474335
A10-HPR1,ICIA,176.6893116
A10-ACT1,ICIA,144.005025
A10-GIL1,ICIA,74.10595668
ICIA39,ICIA,164.6414
