,site,city,hd_1000
1,W01-GFP1,ININ,1065.637185
2,W01-GFP2,ININ,1046.220777
3,W01-HCC1,ININ,567.9299301
4,W01-WRG1,ININ,91.58072376
5,W02-SGG1,ININ,575.6964932
6,W02-CRS1,ININ,519.0653036
7,W02-CRS2,ININ,538.1581047
8,W02-EMP1,ININ,448.5190217
9,W03-MEL1,ININ,812.2530624
10,W03-RGC1,ININ,454.343944
11,W03-CHC1,ININ,237.5273895
12,W04-BHC1,ININ,446.9009877
13,W04-BHC2,ININ,446.9009877
14,W04-WPC1,ININ,407.7445652
15,W04-JSP1,ININ,548.837129
16,W05-IHS1,ININ,1128.093297
17,W05-CPE1,ININ,1374.034463
18,W06-UHS1,ININ,232.6732876
19,W06-LSP1,ININ,1374.034463
20,W06-CNP1,ININ,538.1581047
21,W06-LRF1,ININ,221.9942633
22,W07-UES1,ININ,115.8512336
23,W07-UES2,ININ,114.5568064
24,W07-INA1,ININ,99.67089371
25,W07-SCB1,ININ,318.429089
26,W07-WAF1,ININ,92.55154416
27,W08-WOG1,ININ,47.24659247
28,W08-NST1,ININ,46.92298567
29,W08-ROS1,ININ,40.45084972
30,M01-PRG1,ININ,1299.6049
31,M01-SAP1,ININ,1246.856992
32,M02-BCF1,ININ,1293.456371
33,M02-SBP1,ININ,962.7302233
34,M02-SBP2,ININ,1441.02107
35,M02-OBP1,ININ,731.6749697
36,M03-ISD1,ININ,932.6347911
37,M03-GWP1,ININ,979.8813836
38,M03-FCP1,ININ,1037.483394
39,M04-MHG1,ININ,477.6436335
40,M04-MAP1,ININ,510.9751336
41,M04-BAS1,ININ,1113.207384
42,M05-SGC1,ININ,1009.329602
43,M05-DFC1,ININ,1173.721855
44,M05-DFC2,ININ,1132.300185
45,M05-ISB1,ININ,378.6199534
46,M05-ISB2,ININ,378.6199534
47,M06-WGC1,ININ,434.6039294
48,M06-MCP1,ININ,477.9672403
49,M06-PGC1,ININ,455.961978
50,M07-CCT1,ININ,363.0868271
51,M07-WFD1,ININ,291.8933316
52,M07-CAC1,ININ,635.5637508
53,M08-FTP1,ININ,314.5458074
54,M08-MMT1,ININ,430.397041
55,M08-MMT2,ININ,416.8055555
56,M08-WGP1,ININ,105.1722093
57,W01-GFP3,ININ,932.9583979
58,W02-SGG2,ININ,418.0999827
59,W02-IZO1,ININ,344.9648464
60,W02-IZO2,ININ,344.9648464
61,W04-ROW1,ININ,1071.138501
62,M05-SDC1,ININ,827.7861886
63,W04-JSP2,ININ,487.6754442
64,W02-IZO3,ININ,354.9966571
65,W08-NST2,ININ,46.92298567
66,W08-ROS2,ININ,40.45084972
67,M03-GWP2,ININ,957.2289077
68,M04-FRP1,ININ,531.3623619
69,M03-FCP2,ININ,1110.942137
