,site,city,tree_500,tree_1000,tree_4000,imp_500,imp_1000,imp_4000,hd_500,hd_1000,hd_4000
1,LBCA-1,LBCA,0,0.034107194,0.034107194,79.44036697,67.89337919,62.39987465,538.6076731,1382.171697,1010.42656
2,LBCA-2,LBCA,0.040183697,0.077363897,0.077363897,62.43283582,63.9495702,61.47864074,2299.587363,1641.925752,1138.075305
3,LBCA-3,LBCA,0.081142857,0.058099599,0.058099599,59.144,59.20291929,61.02542024,2482.943166,1621.552886,1207.609651
4,LBCA-4,LBCA,0.038946163,0.019506598,0.019506598,52.65177549,55.76878944,61.05760484,2738.877315,1469.074707,1175.677569
5,LBCA-5,LBCA,0.291139241,0.353868195,0.353868195,61.19332566,60.19255014,64.44127757,2684.125226,1112.231209,1186.321596
6,LBCA-6,LBCA,0.695652174,0.422285714,0.422285714,72.23913043,71.59142857,66.03177359,1031.376391,790.7219011,1018.842305
7,LBCA-7,LBCA,0.110471807,0.164183381,0.164183381,82.06674338,83.76446991,68.24640146,906.5925823,504.8651112,984.3835102
8,LBCA-8,LBCA,0.650630011,0.450716332,0.450716332,77.99885452,76.44584527,68.1967806,319.5993529,577.7617751,911.6659039
9,LBCA-9,LBCA,0.370709382,0.319667431,0.319667431,81.58581236,78.63646789,66.54899644,16.55295441,56.34371036,894.4564019
10,LBCA-10,LBCA,0.144661309,0.167860212,0.167860212,71.14121699,71.96304784,62.21149302,1083.581867,839.7441124,883.3348856
11,LBCA-11,LBCA,0.061059908,0.08895881,0.08895881,59.50806452,61.77459954,57.96909745,1408.27443,1235.105063,820.3461191
12,LBCA-12,LBCA,2.027459954,1.461163657,1.461163657,34.54118993,37.06362855,37.3023743,732.1499085,573.3052105,612.4394194
13,LBCA-13,LBCA,0.549199085,1.199200913,1.199200913,15.1819222,27.81706621,34.21942008,1501.225639,866.8018257,533.1364429
14,LBCA-14,LBCA,2.493119266,2.797192781,2.797192781,24.22477064,29.99828129,28.82743925,1730.420389,929.5120575,455.6439459
15,LBCA-15,LBCA,4.478711162,4.013172967,4.013172967,33.92635213,33.88802978,24.94224227,1235.105059,1087.401777,407.3976543
16,LBCA-16,LBCA,1.447488584,2.148392652,2.148392652,32.13584475,25.09357061,17.13606819,1199.45254,572.6685588,276.9834518
17,LBCA-17,LBCA,1.920780712,3.216231718,3.216231718,11.25258324,11.70920562,17.41006357,1378.988432,417.325448,319.3805022
18,LBCA-18,LBCA,0,0.180074435,0.180074435,4.368663594,2.785857429,9.152697452,1.273304184,150.2498943,133.9953705
19,LBCA-19,LBCA,2.971428571,1.947791165,1.947791165,1.257142857,2.358290304,3.504047423,1.27330419,0.636652094,44.62533275
20,LBCA-20,LBCA,2.48173516,1.975463623,1.975463623,2.055936073,1.27360913,1.544924008,0,0.318326047,12.31523895
21,LBCA-21,LBCA,1.688073394,1.669056496,1.669056496,2.005733945,1.350731288,1.31128781,2.546608382,2.228282331,4.754995331
22,LBCA-22,LBCA,0.509758898,1.053310404,1.053310404,6.088404133,3.347377472,0.852960138,10.18643346,3.183260468,9.80842133
23,LBCA-23,LBCA,3.03207331,2.483075158,2.483075158,6.517754868,3.301778543,0.892892319,54.75208021,33.10590891,22.18334642
24,LBCA-24,LBCA,1.27283105,2.102983362,2.102983362,3.015981735,2.016351119,1.991226971,82.76477221,35.65251728,32.98653664
