site,city,hd_1000
JCA01,MAKS,687.6644452
JCA02,MAKS,932.3111843
JCA03,MAKS,491.8823326
JCA04,MAKS,310.9861326
JCA05,MAKS,121.0289424
JCA06,MAKS,19.74001466
JCA07,MAKS,4.854101966
JCA08,MAKS,10.03181073
JCA09,MAKS,10.35541753
JCA10,MAKS,11.97345152
JCB02,MAKS,499.9725025
JCB03,MAKS,371.8242106
JCB04,MAKS,218.7581953
JCB05,MAKS,271.8297101
JCB06,MAKS,194.4876854
JCB07,MAKS,359.8507591
JCB08,MAKS,311.956953
JCB09,MAKS,7.766563146
JCB10,MAKS,0
JCC02,MAKS,277.3310257
JCC03,MAKS,64.39775275
JCC04,MAKS,159.8617581
JCC05,MAKS,117.7928744
JCC06,MAKS,108.4082772
JCC07,MAKS,5.501315562
JCC08,MAKS,8.413776741
JCC09,MAKS,3.883281573
JCC10,MAKS,6.795742753
JCD02,MAKS,748.5025232
JCD03,MAKS,643.0067071
JCD04,MAKS,528.1262939
JCD05,MAKS,282.5087344
JCD06,MAKS,104.5249957
JCD07,MAKS,35.92035455
JCD08,MAKS,4.206888371
JCD09,MAKS,4.530495168
JCD10,MAKS,0.323606798
MA01,MAKS,312.6041666
MA02,MAKS,1212.554671
MA03,MAKS,1391.50923
MA04,MAKS,1155.599875
MA05,MAKS,1071.138501
MA06,MAKS,1038.777821
MA07,MAKS,512.5931676
MA08,MAKS,326.8428657
MA09,MAKS,34.94953416
MA10,MAKS,33.65510697
MB02,MAKS,661.7759014
MB03,MAKS,985.7063059
MB04,MAKS,369.2353562
MB05,MAKS,577.9617408
MB06,MAKS,446.5773809
MB07,MAKS,271.5061033
MB08,MAKS,26.21215062
MB09,MAKS,370.2061766
MB10,MAKS,33.33150017
MC02,MAKS,139.7981366
MC03,MAKS,19.74001466
MC04,MAKS,99.02368011
MC05,MAKS,16.50394669
MC06,MAKS,94.81679174
MC07,MAKS,89.96268977
MC08,MAKS,35.92035455
MC09,MAKS,30.74264579
MC10,MAKS,31.71346618
MD02,MAKS,976.6453156
MD03,MAKS,662.0995082
MD04,MAKS,857.8816208
MD05,MAKS,532.6567891
MD06,MAKS,432.015075
MD07,MAKS,251.1188751
MD08,MAKS,81.54891303
MD09,MAKS,52.10069444
MD10,MAKS,9.708203933
