site,city,hd_1000
M01-BRT1,MAWI,115.5523552
M01-BRT2,MAWI,202.1370401
M01-BRT3,MAWI,940.0168176
M01-SWC1,MAWI,989.0390289
M01-SWC2,MAWI,950.5215772
M01-SWC3,MAWI,842.927373
M01-SWC4,MAWI,771.3040123
M01-SWC5,MAWI,741.3813639
M01-SWC6,MAWI,1256.751234
M01-SWC7,MAWI,1731.375371
M01-SWC8,MAWI,2560.614723
M01-SWC9,MAWI,2775.166479
M01-CCT1,MAWI,1727.237132
M01-CCT2,MAWI,1556.296045
M01-CCT3,MAWI,1554.704414
M01-CCT4,MAWI,1533.694895
M01-STC1,MAWI,1393.313109
M01-STC2,MAWI,911.4193
M01-STC3,MAWI,469.2125935
M01-RDP1,MAWI,359.0717813
M01-POR1,MAWI,610.2310324
M01-POR2,MAWI,708.2754553
M01-UWH1,MAWI,17.18960655
M01-AMF1,MAWI,205.9569527
