site,city,hd_1000
OCCA-1,OCCA,1382.171697
OCCA-2,OCCA,1641.925752
OCCA-3,OCCA,1621.552886
OCCA-4,OCCA,1469.074707
OCCA-5,OCCA,1112.231209
OCCA-6,OCCA,790.7219011
OCCA-7,OCCA,504.8651112
OCCA-8,OCCA,577.7617751
OCCA-9,OCCA,56.34371036
OCCA-10,OCCA,839.7441124
OCCA-11,OCCA,1235.105063
OCCA-12,OCCA,573.3052105
OCCA-13,OCCA,866.8018257
OCCA-14,OCCA,929.5120575
OCCA-15,OCCA,1087.401777
OCCA-16,OCCA,572.6685588
OCCA-17,OCCA,417.325448
OCCA-18,OCCA,150.2498943
OCCA-19,OCCA,0.636652094
OCCA-20,OCCA,0.318326047
OCCA-21,OCCA,2.228282331
OCCA-22,OCCA,3.183260468
OCCA-23,OCCA,33.10590891
OCCA-24,OCCA,35.65251728
