,coyote,red fox,raccoon,v. opossum,gray squirrel,fox squirrel,striped skunk,w. t. deer,e. cottontail,J,year
298-2-18,0,0,0,0,2,0,0,0,0,26,2018
299-2-18,0,0,1,0,0,0,0,0,0,27,2018
301-2-18,0,0,0,0,3,1,0,0,0,36,2018
303-2-18,2,0,0,0,0,0,0,15,0,35,2018
304-2-18,12,0,24,0,20,3,0,14,1,35,2018
305-2-18,0,0,1,1,23,0,0,0,14,28,2018
306-2-18,0,0,0,0,25,5,0,0,1,34,2018
307-2-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2018
309-2-18,2,0,6,3,28,7,0,0,25,29,2018
310-2-18,0,0,17,0,0,0,0,0,0,17,2018
314-2-18,0,0,0,0,0,0,0,0,0,29,2018
315-2-18,0,0,0,0,1,0,0,0,0,15,2018
316-2-18,0,0,0,0,3,0,0,0,4,29,2018
317-2-18,0,0,2,5,21,0,0,0,1,29,2018
318-2-18,0,0,0,0,0,0,0,0,0,29,2018
319-2-18,0,0,0,0,0,0,0,0,0,29,2018
320-2-18,0,0,27,14,19,0,0,1,1,29,2018
324-2-18,0,0,0,0,0,0,0,0,1,29,2018
326-2-18,0,0,0,0,0,0,0,0,1,28,2018
328-2-18,1,0,7,1,19,0,0,5,1,29,2018
329-2-18,0,0,0,0,2,0,0,0,9,36,2018
330-2-18,0,0,2,2,10,0,0,0,15,25,2018
332-2-18,3,0,7,0,2,0,0,2,0,27,2018
333-2-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2018
334-2-18,1,0,0,0,14,0,0,0,1,29,2018
335-2-18,0,0,0,0,0,0,0,0,1,26,2018
338-2-18,0,0,13,24,16,1,0,0,14,29,2018
339-2-18,0,0,0,0,4,0,0,0,0,29,2018
341-2-18,0,0,10,1,0,0,0,0,1,28,2018
342-2-18,3,0,2,0,2,0,0,0,0,28,2018
343-2-18,0,0,4,2,0,0,1,0,0,12,2018
344-2-18,0,0,0,0,0,0,0,0,0,26,2018
347-2-18,1,0,3,0,3,0,0,0,0,26,2018
348-2-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2018
349-2-18,0,0,0,0,1,0,0,0,0,13,2018
350-2-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2018
352-2-18,1,0,2,0,7,0,0,1,0,27,2018
353-2-18,0,0,3,0,0,0,0,0,0,26,2018
354-2-18,3,0,8,0,9,0,0,0,1,26,2018
