"city","site","raccoon","coyote","rabbit","opossum","skunk","redfox","graysquirrel","foxsquirrel","J","site_code","year"
"autx","1-2-17",0,2,1,0,0,0,0,1,38,"autx-1-2",2017
"autx","2-2-17",0,3,4,0,0,0,0,0,29,"autx-2-2",2017
"autx","3-2-17",0,0,0,1,0,0,0,7,40,"autx-3-2",2017
"autx","4-2-17",0,0,0,0,0,0,0,1,43,"autx-4-2",2017
"autx","5-2-17",4,1,0,0,1,0,0,8,39,"autx-5-2",2017
"autx","6-2-17",1,0,0,0,0,0,0,0,43,"autx-6-2",2017
"autx","7-2-17",0,0,0,0,0,0,0,7,44,"autx-7-2",2017
"autx","8-2-17",1,0,0,0,0,0,0,2,18,"autx-8-2",2017
"autx","9-2-17",0,0,0,0,1,0,0,2,41,"autx-9-2",2017
"autx","10-2-17",2,5,0,0,0,0,0,0,40,"autx-10-2",2017
"autx","11-2-17",7,1,1,2,0,0,0,0,24,"autx-11-2",2017
"autx","12-2-17",1,3,0,3,0,0,0,4,43,"autx-12-2",2017
"autx","13-2-17",5,0,0,0,0,0,0,0,40,"autx-13-2",2017
"autx","14-2-17",18,0,0,1,0,0,0,13,43,"autx-14-2",2017
"autx","15-2-17",0,1,0,0,0,0,0,0,39,"autx-15-2",2017
"autx","16-2-17",0,0,0,0,0,0,0,3,41,"autx-16-2",2017
"autx","17-2-17",0,0,0,0,0,0,0,2,40,"autx-17-2",2017
"autx","18-2-17",7,0,0,0,0,0,0,7,40,"autx-18-2",2017
"autx","20-2-17",1,13,0,0,0,0,0,0,38,"autx-20-2",2017
"autx","21-2-17",0,0,0,0,0,0,0,0,39,"autx-21-2",2017
"autx","22-2-17",0,0,0,0,0,0,0,3,39,"autx-22-2",2017
"autx","23-2-17",0,0,0,0,0,0,0,0,39,"autx-23-2",2017
"autx","24-2-17",1,0,0,9,0,0,0,0,40,"autx-24-2",2017
"autx","25-2-17",1,0,0,2,0,0,0,3,18,"autx-25-2",2017
"autx","26-2-17",2,1,0,1,0,0,0,0,39,"autx-26-2",2017
"chil","298-2-16",0,4,0,0,1,0,3,4,22,"chil-298-2",2016
"chil","299-2-16",13,1,0,25,25,0,22,13,29,"chil-299-2",2016
"chil","301-2-16",4,0,0,0,0,0,0,0,29,"chil-301-2",2016
"chil","303-2-16",0,0,2,4,0,0,2,0,28,"chil-303-2",2016
"chil","304-2-16",11,0,0,9,0,0,0,0,26,"chil-304-2",2016
"chil","305-2-16",0,0,0,0,0,0,3,1,29,"chil-305-2",2016
"chil","306-2-16",0,0,0,0,0,0,0,1,15,"chil-306-2",2016
"chil","307-2-16",0,1,1,0,0,0,3,0,28,"chil-307-2",2016
"chil","310-2-16",19,5,0,0,0,0,0,0,25,"chil-310-2",2016
"chil","314-2-16",0,0,0,0,0,0,0,0,12,"chil-314-2",2016
"chil","315-2-16",1,3,4,0,0,0,25,1,29,"chil-315-2",2016
"chil","316-2-16",0,0,3,0,0,0,9,0,22,"chil-316-2",2016
"chil","317-2-16",1,0,4,0,0,0,0,0,29,"chil-317-2",2016
