"","coyote","red fox","raccoon","v. possum","gray squirrel","fox squirrel","striped skunk","w. t. deer","e. cottontail","J","year"
"1-2-18",0,1,19,0,0,0,1,1,0,30,2018
"11-2-18",0,7,25,0,21,0,0,12,0,28,2018
"12-2-18",0,0,11,1,1,0,0,16,1,29,2018
"13-2-18",0,1,9,2,1,0,0,12,3,28,2018
"14-2-18",0,0,0,0,0,0,0,14,0,29,2018
"15-2-18",0,0,0,0,0,0,0,0,0,28,2018
"16-2-18",0,7,10,7,1,0,0,6,0,27,2018
"18-2-18",0,15,4,0,0,0,1,14,2,18,2018
"19-2-18",0,3,3,1,4,0,0,4,0,30,2018
"2-2-18",0,2,1,1,8,0,0,7,0,27,2018
"20-2-18",0,1,3,6,18,0,2,4,2,30,2018
"21-2-18",0,6,14,11,5,0,0,10,2,30,2018
"22-2-18",0,3,2,0,3,0,0,2,0,28,2018
"23-2-18",0,2,5,0,5,0,0,2,0,30,2018
"24-2-18",0,1,5,9,2,0,0,16,0,30,2018
"25-2-18",0,1,0,0,2,0,0,6,0,30,2018
"26-2-18",0,7,9,3,18,0,0,5,1,30,2018
"27-2-18",0,1,7,2,5,0,0,2,0,30,2018
"28-2-18",0,2,4,5,2,0,0,3,0,30,2018
"29-2-18",0,0,4,0,0,0,0,0,0,28,2018
"3-2-18",0,1,10,0,4,0,0,3,0,30,2018
"30-2-18",0,1,2,0,3,0,0,0,0,29,2018
"4-2-18",0,13,9,3,8,0,0,12,1,30,2018
"5-2-18",0,3,1,1,0,0,0,2,1,27,2018
"6-2-18",0,1,2,1,5,0,0,4,0,30,2018
"7-2-18",0,2,0,0,1,0,0,5,0,30,2018
"8-2-18",0,1,8,0,12,0,0,0,0,28,2018
"9-2-18",0,0,3,2,16,0,0,0,0,28,2018
