"locationID","fullName","utmEast","utmNorth","utmZone","locationAbbr","areaID","landOwnerID","defaultTimeZone"
2031,"EDAL-A03-BAN1",343655,5942621,"12U","Bannerman",4,280,"America/Edmonton"
2032,"EDAL-C01-BEL1",332256,5932532,"12U","Belgravia",4,280,"America/Edmonton"
2033,"EDAL-A02-BEL1",338857,5940975,"12U","Belvedere",4,280,"America/Edmonton"
2034,"EDAL-C04-BIG1",322920,5923208,"12U","Big Island",4,280,"America/Edmonton"
2035,"EDAL-C02-CAL1",326259,5931858,"12U","Callingwood ",4,280,"America/Edmonton"
2036,"EDAL-D02-DOV1",330506,5939391,"12U","Dovercourt",4,280,"America/Edmonton"
2037,"EDAL-C03-EDG1",322946,5927440,"12U","Edgemont",4,280,"America/Edmonton"
2038,"EDAL-D03-GOC1",331217,5946640,"12U","Goodridge Corne",4,280,"America/Edmonton"
2039,"EDAL-A02-KER1",341480,5940440,"12U","Kennendale Ravi",4,280,"America/Edmonton"
2040,"EDAL-B02-KIG1",339789,5927969,"12U","Kiniski Gardens",4,280,"America/Edmonton"
2043,"EDAL-C01-PAR1",332980,5931109,"12U","Parkallen",4,280,"America/Edmonton"
2044,"EDAL-B02-PYI1",340574,5930517,"12U","Pylypow Industr",4,280,"America/Edmonton"
2045,"EDAL-D01-QUM1",332555,5936710,"12U","Queen Mary Park",4,280,"America/Edmonton"
2046,"EDAL-C02-RVA1",330489,5928963,"12U","R.V. Aspen Gard",4,280,"America/Edmonton"
2047,"EDAL-A01-RVH1",338380,5936951,"12U","R.V. Highlands",4,280,"America/Edmonton"
2048,"EDAL-C01-RVM1",331626,5934928,"12U","R.V. Mayfair",4,280,"America/Edmonton"
2049,"EDAL-C02-RVO1",327996,5929419,"12U","R.V. Oleskiw",4,280,"America/Edmonton"
2050,"EDAL-A02-RVR1",340761,5936968,"12U","R.V. Rundle",4,280,"America/Edmonton"
2051,"EDAL-C03-RVT1",326616,5929569,"12U","R.V. Terwillega",4,280,"America/Edmonton"
2052,"EDAL-C01-RVV1",332677,5934516,"12U","R.V. Victoria",4,280,"America/Edmonton"
2053,"EDAL-D02-RAI1",329527,5942925,"12U","Rampart Industr",4,280,"America/Edmonton"
2054,"EDAL-C04-RIA1",321536,5921556,"12U","Riverview Area",4,280,"America/Edmonton"
2055,"EDAL-B02-ROR1",338574,5930169,"12U","Roper Road",4,280,"America/Edmonton"
2056,"EDAL-B02-SIB1",341329,5926589,"12U","Silver Berry",4,280,"America/Edmonton"
2057,"EDAL-A03-STC1",345339,5942409,"12U","Sturgeon County",4,280,"America/Edmonton"
2058,"EDAL-B03-TAM1",343390,5925833,"12U","Tamarack",4,280,"America/Edmonton"
2059,"EDAL-A01-TEH1",338460,5935757,"12U","Terrace Heights",4,280,"America/Edmonton"
2060,"EDAL-C01-UNF1",331338,5930557,"12U","University Farm",4,280,"America/Edmonton"
2061,"EDAL-A01-VIP1",337118,5937638,"12U","Virginia Park",4,280,"America/Edmonton"
2062,"EDAL-C03-WEO1",324520,5928970,"12U","Wedgewood Heigh",4,280,"America/Edmonton"
2063,"EDAL-D02-WEL1",330864,5941356,"12U","Wellington",4,280,"America/Edmonton"
2064,"EDAL-D02-WOO1",330211,5937866,"12U","Woodcroft",4,280,"America/Edmonton"
2068,"EDAL-A01-FUP1",339433,5935859,"12U","Fulton Place",4,280,"America/Edmonton"
2069,"EDAL-C03-GRH1",329742,5922757,"12U","Graydon Hill",4,280,"America/Edmonton"
2075,"EDAL-D02-HUS1",327758,5942007,"12U","Humane Society",4,280,"America/Edmonton"
2092,"EDAL-C02-ZOO1",330105,5931928,"12U","Zoo",4,280,"America/Edmonton"
2093,"EDAL-C03-BLC1",332916,5924723,"12U","Blackmud Creek ",4,280,"America/Edmonton"
2099,"EDAL-B02-MIG1",338915,5929087,"12U","Millwoods Golf ",4,280,"America/Edmonton"
2100,"EDAL-A02-ABB1",342561,5938271,"12U","Abbottsfield",4,280,"America/Edmonton"
2101,"EDAL-B01-CLO1",335720,5935021,"12U","Cloverdale",4,280,"America/Edmonton"
2102,"EDAL-B02-DAI1",337722,5930888,"12U","Davies Industri",4,280,"America/Edmonton"
2103,"EDAL-C01-HAW1",331076,5933652,"12U","Hawrelak Park",4,280,"America/Edmonton"
2110,"EDAL-A03-MAO1",344909,5945367,"12U","Marquis One",4,280,"America/Edmonton"
2111,"EDAL-D01-PRC1",332036,5939155,"12U","Prince Charles",4,280,"America/Edmonton"
2112,"EDAL-C03-RVC1",326863,5927769,"12U","R.V. Cameron",4,280,"America/Edmonton"
2113,"EDAL-C02-RVG1",330201,5931490,"12U","R.V. Grandview ",4,280,"America/Edmonton"
2114,"EDAL-C01-RVW1",333920,5933993,"12U","R.V. Walterdale",4,280,"America/Edmonton"
2115,"EDAL-B01-ROS1",334890,5934090,"12U","Rossdale",4,280,"America/Edmonton"
2116,"EDAL-C02-WEE1",330116,5928191,"12U","Westbrook Estat",4,280,"America/Edmonton"
2120,"EDAL-A02-CAR1",342462,5939977,"12U","Canon Ridge",4,280,"America/Edmonton"
