"Species","City_pars","Intercept","Habitat amount","Population density","Latitude"
"coyote","City intercept","-0.51 (-0.86 - -0.15)","0.10 (-0.34 - 0.58)","0.22 (-0.20 - 0.68)","0.21 (-0.33 - 0.77)"
"coyote","URB slope","-0.59 (-0.95 - -0.25)","0.14 (-0.32 - 0.60)","0.15 (-0.28 - 0.61)","0.22 (-0.34 - 0.83)"
"foxsquirrel","City intercept","-0.03 (-0.71 - 0.62)","0.28 (-0.49 - 1.14)","-0.10 (-0.87 - 0.63)","-0.09 (-0.93 - 0.73)"
"foxsquirrel","URB slope","0.55 (0.22 - 0.87)","0.31 (-0.12 - 0.76)","-0.17 (-0.59 - 0.26)","-0.04 (-0.57 - 0.49)"
"graysquirrel","City intercept","-0.88 (-2.13 - 0.29)","-0.03 (-1.41 - 1.29)","-0.01 (-0.93 - 0.85)","0.71 (-0.64 - 2.57)"
"graysquirrel","URB slope","0.20 (-0.38 - 0.84)","0.00 (-0.81 - 0.80)","0.35 (-0.20 - 0.88)","-0.20 (-1.14 - 0.63)"
"opossum","City intercept","-0.19 (-0.91 - 0.49)","-0.05 (-0.84 - 0.74)","-0.62 (-1.69 - 0.31)","0.30 (-0.54 - 1.24)"
"opossum","URB slope","-0.19 (-0.51 - 0.15)","0.08 (-0.35 - 0.52)","-0.18 (-0.66 - 0.29)","0.12 (-0.39 - 0.67)"
"rabbit","City intercept","-0.48 (-0.87 - -0.12)","0.00 (-0.41 - 0.42)","-0.22 (-0.67 - 0.24)","0.50 (-0.21 - 1.26)"
"rabbit","URB slope","-0.13 (-0.53 - 0.24)","0.18 (-0.29 - 0.66)","-0.28 (-0.80 - 0.22)","0.73 (-0.05 - 1.57)"
"raccoon","City intercept","0.96 (0.18 - 1.69)","-0.06 (-0.79 - 0.65)","-0.12 (-0.81 - 0.56)","0.02 (-0.74 - 0.77)"
"raccoon","URB slope","-0.15 (-0.44 - 0.14)","0.30 (-0.14 - 0.75)","-0.12 (-0.54 - 0.29)","0.26 (-0.22 - 0.79)"
"redfox","City intercept","-2.08 (-3.07 - -0.92)","0.32 (-0.35 - 1.05)","-0.23 (-1.34 - 0.62)","0.89 (-0.39 - 2.48)"
"redfox","URB slope","0.20 (-0.31 - 0.70)","0.39 (-0.17 - 0.97)","-0.08 (-0.73 - 0.50)","0.12 (-0.79 - 1.04)"
"skunk","City intercept","-1.61 (-2.34 - -0.97)","-0.07 (-0.76 - 0.58)","0.17 (-0.48 - 0.88)","-0.08 (-0.93 - 0.73)"
"skunk","URB slope","-0.31 (-0.74 - 0.11)","0.00 (-0.53 - 0.54)","-0.27 (-0.82 - 0.28)","0.06 (-0.60 - 0.84)"
