Table S3. All parameter estimates from the best fit model for each species. Median estimates and 95% credible intervals are included.,,,,,,
species,parameter,state,explanation,lower(2.5%),median,upper(97.5%)
coyote,B0.1.,occupancy,AUTX-intercept,-0.78,-0.46,-0.16
coyote,B0.2.,occupancy,CHIL-intercept,-0.95,-0.43,0.07
coyote,B0.3.,occupancy,DECO-intercept,-0.83,-0.45,-0.08
coyote,B0.4.,occupancy,FOCO-intercept,-0.89,-0.49,-0.11
coyote,B0.5.,occupancy,ICIA-intercept,-0.94,-0.50,-0.07
coyote,B0.6.,occupancy,ININ-intercept,-0.83,-0.48,-0.16
coyote,B0.7.,occupancy,LBCA-intercept,-0.80,-0.48,-0.18
coyote,B0.8.,occupancy,MAKS-intercept,-0.98,-0.50,-0.05
coyote,B0.9.,occupancy,MAWI-intercept,-0.82,-0.45,-0.10
coyote,B0.10.,occupancy,WIDE-intercept,-0.78,-0.48,-0.17
coyote,B.1.,occupancy,AUTX-slope,-1.20,-0.87,-0.54
coyote,B.2.,occupancy,CHIL-slope,-0.44,-0.24,-0.05
coyote,B.3.,occupancy,DECO-slope,-0.81,-0.59,-0.37
coyote,B.4.,occupancy,FOCO-slope,-2.20,-1.53,-0.90
coyote,B.5.,occupancy,ICIA-slope,-2.41,-1.67,-0.96
coyote,B.6.,occupancy,ININ-slope,-1.91,-1.33,-0.80
coyote,B.7.,occupancy,LBCA-slope,-1.71,-1.22,-0.72
coyote,B.8.,occupancy,MAKS-slope,-2.51,-1.74,-0.99
coyote,B.9.,occupancy,MAWI-slope,-0.90,-0.65,-0.41
coyote,B.10.,occupancy,WIDE-slope,-1.62,-1.15,-0.70
coyote,b1.1.,occupancy,among_city_intercept,-0.78,-0.47,-0.18
coyote,b1.2.,occupancy,among_city_hden,-0.23,0.02,0.28
coyote,b2.1.,occupancy,among_city_slope,-1.55,-1.10,-0.67
coyote,b2.2.,occupancy,among_city_slope_hden,0.23,0.50,0.77
coyote,b_2016.2.,occupancy,CHIL-2016 data,-0.67,-0.10,0.49
coyote,b_2016.8.,occupancy,MAKS-2016 data,-0.05,0.64,1.32
coyote,b_2018.2.,occupancy,CHIL-2018 data,-0.14,0.42,0.98
coyote,b_2018.5.,occupancy,ICIA-2018 data,-0.63,0.27,1.23
coyote,b_2018.6.,occupancy,ININ-2018 data,-0.56,0.23,1.01
coyote,b_2018.9.,occupancy,MAWI-2018 data,-2.32,-0.93,0.41
coyote,D0.1.,detection,AUTX-intercept,-2.77,-2.38,-2.00
coyote,D0.2.,detection,CHIL-intercept,-2.31,-2.20,-2.08
coyote,D0.3.,detection,DECO-intercept,-3.70,-3.18,-2.70
coyote,D0.4.,detection,FOCO-intercept,-3.80,-3.12,-2.51
coyote,D0.5.,detection,ICIA-intercept,-3.36,-2.99,-2.65
coyote,D0.6.,detection,ININ-intercept,-3.13,-2.85,-2.58
coyote,D0.7.,detection,LBCA-intercept,-1.97,-1.67,-1.38
coyote,D0.8.,detection,MAKS-intercept,-2.56,-2.40,-2.25
coyote,D0.9.,detection,MAWI-intercept,-3.91,-3.25,-2.67
coyote,D0.10.,detection,WIDE-intercept,-4.06,-2.63,-1.20
coyote,Dmu,detection,grand mean,-3.11,-2.64,-2.17
coyote,psi_sd,occupancy,among city standard deviation,0.02,0.13,0.48
coyote,rho_sd,detection,among city standard deviation,0.30,0.60,1.05
coyote,B_diff.1.,occupancy,AUTX-random effect,-0.41,0.00,0.39
coyote,B_diff.2.,occupancy,CHIL-random effect,-0.36,0.02,0.48
coyote,B_diff.3.,occupancy,DECO-random effect,-0.32,0.02,0.51
coyote,B_diff.4.,occupancy,FOCO-random effect,-0.55,-0.02,0.32
coyote,B_diff.5.,occupancy,ICIA-random effect,-0.46,-0.01,0.35
coyote,B_diff.6.,occupancy,ININ-random effect,-0.37,0.00,0.38
coyote,B_diff.7.,occupancy,LBCA-random effect,-0.53,-0.03,0.29
coyote,B_diff.8.,occupancy,MAKS-random effect,-0.21,0.06,0.63
coyote,B_diff.9.,occupancy,MAWI-random effect,-0.55,-0.02,0.34
coyote,B_diff.10.,occupancy,WIDE--random effect,-0.50,0.00,0.49
fox squirrel,B0.1.,occupancy,AUTX-intercept,-1.29,0.16,1.58
fox squirrel,B0.2.,occupancy,CHIL-intercept,-1.63,-0.05,1.52
fox squirrel,B0.3.,occupancy,DECO-intercept,-0.81,0.05,0.90
fox squirrel,B0.4.,occupancy,FOCO-intercept,-0.80,0.08,0.96
fox squirrel,B0.5.,occupancy,ICIA-intercept,-0.98,0.02,1.03
fox squirrel,B0.6.,occupancy,ININ-intercept,-1.09,0.01,1.12
fox squirrel,B0.7.,occupancy,LBCA-intercept,-0.78,0.07,0.95
fox squirrel,B0.8.,occupancy,MAKS-intercept,-1.38,0.17,1.79
fox squirrel,B0.9.,occupancy,MAWI-intercept,-1.31,-0.02,1.31
fox squirrel,B0.10.,occupancy,WIDE-intercept,-0.96,0.12,1.20
fox squirrel,B.1.,occupancy,AUTX-slope,1.73,2.55,3.41
fox squirrel,B.2.,occupancy,CHIL-slope,-0.29,-0.10,0.07
fox squirrel,B.3.,occupancy,DECO-slope,0.81,1.22,1.66
fox squirrel,B.4.,occupancy,FOCO-slope,1.02,1.52,2.05
fox squirrel,B.5.,occupancy,ICIA-slope,0.46,0.75,1.04
fox squirrel,B.6.,occupancy,ININ-slope,0.32,0.56,0.81
fox squirrel,B.7.,occupancy,LBCA-slope,0.95,1.42,1.91
fox squirrel,B.8.,occupancy,MAKS-slope,1.85,2.74,3.65
fox squirrel,B.9.,occupancy,MAWI-slope,0.06,0.25,0.44
fox squirrel,B.10.,occupancy,WIDE-slope,1.36,2.01,2.70
fox squirrel,b1.1.,occupancy,among_city_intercept,-0.80,0.06,0.91
fox squirrel,b1.2.,occupancy,among_city_greenspace,-0.82,0.08,0.96
fox squirrel,b2.1.,occupancy,among_city_slope,0.86,1.29,1.75
fox squirrel,b2.2.,occupancy,among_city_slope_greenspace,0.64,0.95,1.26
fox squirrel,b_2016.2.,occupancy,CHIL-2016 data,-0.66,-0.06,0.54
fox squirrel,b_2016.8.,occupancy,MAKS-2016 data,-1.28,-0.50,0.24
fox squirrel,b_2018.2.,occupancy,CHIL-2018 data,-0.57,0.00,0.61
fox squirrel,b_2018.5.,occupancy,ICIA-2018 data,-1.50,-0.45,0.57
fox squirrel,b_2018.6.,occupancy,ININ-2018 data,-0.54,0.34,1.23
