"Species","parameter","estimate"
"coyote","AUTX","-0.72 (-1.77 - 0.33)"
"coyote","CHIL","-0.39 (-1.39 - 0.62)"
"coyote","DECO","-0.33 (-1.25 - 0.68)"
"coyote","FOCO","-0.73 (-1.67 - 0.20)"
"coyote","ICIA","-0.49 (-1.49 - 0.51)"
"coyote","ININ","-0.48 (-1.33 - 0.34)"
"coyote","LBCA","-0.82 (-1.62 - -0.08)"
"coyote","MAKS","-0.27 (-1.18 - 0.65)"
"coyote","MAWI","-0.74 (-1.77 - 0.27)"
"coyote","WIDE","-0.54 (-2.10 - 0.99)"
"coyote","within_urb","-1.03 (-1.56 - -0.51)"
"coyote","between_prophab","0.14 (-0.48 - 0.77)"
"coyote","between_hden","0.13 (-0.48 - 0.74)"
"coyote","prophab_onurb","-0.22 (-0.84 - 0.38)"
"coyote","hden_onurb","0.27 (-0.29 - 0.82)"
"coyote","Bmu","-0.54 (-1.10 - 0.00)"
"foxsquirrel","AUTX","0.13 (-1.45 - 1.71)"
"foxsquirrel","CHIL","-0.80 (-2.46 - 0.83)"
"foxsquirrel","DECO","1.14 (0.05 - 2.28)"
"foxsquirrel","FOCO","1.18 (0.15 - 2.25)"
"foxsquirrel","ICIA","-0.54 (-2.02 - 0.90)"
"foxsquirrel","ININ","0.91 (-0.19 - 2.06)"
"foxsquirrel","LBCA","-0.84 (-2.07 - 0.46)"
"foxsquirrel","MAKS","-0.61 (-2.14 - 0.88)"
"foxsquirrel","MAWI","0.08 (-2.57 - 2.78)"
"foxsquirrel","WIDE","0.07 (-2.67 - 2.66)"
"foxsquirrel","within_urb","1.34 (0.79 - 1.91)"
"foxsquirrel","between_prophab","0.13 (-0.81 - 1.13)"
"foxsquirrel","between_hden","0.17 (-0.75 - 1.09)"
"foxsquirrel","prophab_onurb","0.75 (0.13 - 1.41)"
"foxsquirrel","hden_onurb","-0.21 (-0.77 - 0.35)"
"foxsquirrel","Bmu","0.07 (-0.80 - 0.96)"
"graysquirrel","AUTX","-0.04 (-3.48 - 3.33)"
"graysquirrel","CHIL","0.43 (-2.05 - 2.88)"
"graysquirrel","DECO","-0.04 (-3.49 - 3.39)"
"graysquirrel","FOCO","-0.03 (-3.54 - 3.34)"
"graysquirrel","ICIA","0.99 (-1.14 - 2.99)"
"graysquirrel","ININ","-1.47 (-3.28 - 0.21)"
"graysquirrel","LBCA","-1.44 (-2.59 - -0.42)"
"graysquirrel","MAKS","-0.04 (-3.45 - 3.40)"
"graysquirrel","MAWI","0.06 (-1.67 - 1.73)"
"graysquirrel","WIDE","1.15 (-0.16 - 2.59)"
"graysquirrel","within_urb","0.93 (0.06 - 1.91)"
"graysquirrel","between_prophab","0.57 (-0.97 - 2.09)"
"graysquirrel","between_hden","0.56 (-0.81 - 1.85)"
"graysquirrel","prophab_onurb","1.11 (0.01 - 2.27)"
"graysquirrel","hden_onurb","0.44 (-0.23 - 1.14)"
"graysquirrel","Bmu","-0.04 (-1.41 - 1.26)"
"opossum","AUTX","-0.40 (-1.68 - 0.81)"
"opossum","CHIL","0.36 (-0.92 - 1.61)"
"opossum","DECO","0.09 (-1.85 - 2.05)"
"opossum","FOCO","0.09 (-1.89 - 2.01)"
"opossum","ICIA","-0.45 (-1.68 - 0.71)"
"opossum","ININ","0.52 (-0.38 - 1.47)"
"opossum","LBCA","0.09 (-1.89 - 2.03)"
"opossum","MAKS","0.49 (-0.60 - 1.61)"
"opossum","MAWI","-0.12 (-1.12 - 0.83)"
"opossum","WIDE","0.26 (-0.57 - 1.09)"
"opossum","within_urb","-0.20 (-0.65 - 0.27)"
"opossum","between_prophab","-0.14 (-0.87 - 0.58)"
"opossum","between_hden","-0.25 (-1.03 - 0.54)"
"opossum","prophab_onurb","0.13 (-0.40 - 0.66)"
"opossum","hden_onurb","-0.10 (-0.62 - 0.39)"
"opossum","Bmu","0.09 (-0.61 - 0.80)"
"rabbit","AUTX","-0.98 (-2.15 - 0.11)"
"rabbit","CHIL","-0.67 (-1.67 - 0.34)"
"rabbit","DECO","-0.41 (-1.18 - 0.37)"
"rabbit","FOCO","-0.31 (-1.05 - 0.44)"
"rabbit","ICIA","-0.98 (-1.99 - -0.02)"
"rabbit","ININ","-0.41 (-1.20 - 0.40)"
"rabbit","LBCA","-0.52 (-2.12 - 1.05)"
"rabbit","MAKS","-0.38 (-1.31 - 0.54)"
"rabbit","MAWI","-0.28 (-1.14 - 0.61)"
"rabbit","WIDE","-0.35 (-1.26 - 0.59)"
"rabbit","within_urb","0.08 (-0.35 - 0.51)"
"rabbit","between_prophab","-0.39 (-1.02 - 0.24)"
"rabbit","between_hden","-0.17 (-0.78 - 0.43)"
"rabbit","prophab_onurb","-0.29 (-0.79 - 0.20)"
"rabbit","hden_onurb","-0.22 (-0.67 - 0.23)"
"rabbit","Bmu","-0.52 (-1.05 - 0.03)"
"raccoon","AUTX","1.07 (-0.17 - 2.25)"
"raccoon","CHIL","1.57 (0.41 - 2.75)"
"raccoon","DECO","0.78 (-0.12 - 1.63)"
"raccoon","FOCO","0.43 (-0.45 - 1.31)"
"raccoon","ICIA","1.34 (0.16 - 2.61)"
"raccoon","ININ","1.73 (0.68 - 2.88)"
"raccoon","LBCA","1.21 (0.36 - 2.09)"
"raccoon","MAKS","1.02 (-0.07 - 2.09)"
"raccoon","MAWI","0.28 (-0.69 - 1.22)"
"raccoon","WIDE","1.78 (0.86 - 2.79)"
"raccoon","within_urb","0.30 (-0.22 - 0.85)"
"raccoon","between_prophab","-0.43 (-1.14 - 0.31)"
"raccoon","between_hden","-0.83 (-1.55 - -0.11)"
"raccoon","prophab_onurb","-0.31 (-0.89 - 0.25)"
"raccoon","hden_onurb","-0.77 (-1.40 - -0.15)"
"raccoon","Bmu","1.09 (0.49 - 1.71)"
"redfox","AUTX","-0.87 (-4.55 - 2.75)"
"redfox","CHIL","-2.07 (-5.17 - 1.44)"
"redfox","DECO","-0.50 (-2.80 - 2.39)"
"redfox","FOCO","-0.79 (-2.95 - 1.74)"
"redfox","ICIA","-0.78 (-3.02 - 1.49)"
"redfox","ININ","-1.23 (-2.97 - 0.40)"
"redfox","LBCA","-0.86 (-4.53 - 2.77)"
"redfox","MAKS","-2.73 (-5.19 - 0.03)"
"redfox","MAWI","-1.23 (-3.54 - 1.12)"
"redfox","WIDE","0.97 (-0.42 - 2.61)"
"redfox","within_urb","-0.05 (-1.37 - 0.93)"
"redfox","between_prophab","0.90 (-0.54 - 2.33)"
"redfox","between_hden","0.32 (-1.27 - 2.04)"
"redfox","prophab_onurb","0.61 (-0.32 - 1.56)"
"redfox","hden_onurb","-0.50 (-1.90 - 0.56)"
"redfox","Bmu","-0.90 (-2.30 - 0.65)"
"skunk","AUTX","-1.93 (-3.57 - -0.21)"
"skunk","CHIL","-1.54 (-2.72 - -0.33)"
"skunk","DECO","-2.31 (-3.50 - -1.20)"
"skunk","FOCO","-1.63 (-2.63 - -0.65)"
"skunk","ICIA","-2.28 (-3.92 - -0.69)"
"skunk","ININ","-1.87 (-3.76 - 0.02)"
"skunk","LBCA","-1.57 (-2.63 - -0.52)"
"skunk","MAKS","-1.97 (-3.15 - -0.87)"
"skunk","MAWI","-2.21 (-3.46 - -1.08)"
"skunk","WIDE","-1.86 (-3.15 - -0.52)"
"skunk","within_urb","-0.48 (-1.20 - 0.22)"
"skunk","between_prophab","0.25 (-0.71 - 1.28)"
"skunk","between_hden","0.28 (-0.63 - 1.23)"
"skunk","prophab_onurb","-0.19 (-1.23 - 0.79)"
"skunk","hden_onurb","-0.12 (-1.11 - 0.84)"
"skunk","Bmu","-1.87 (-2.61 - -1.14)"
