"Species","City","Intercept","URB slope"
"coyote","AUTX","-0.56 (-1.35 - 0.21)","-1.33 (-2.82 - 0.03)"
"coyote","CHIL","-0.62 (-0.99 - -0.27)","-0.76 (-1.17 - -0.36)"
"coyote","DECO","-0.45 (-0.93 - 0.04)","-1.15 (-2.35 - -0.27)"
"coyote","FOCO","-0.48 (-0.98 - -0.04)","-1.35 (-2.52 - -0.29)"
"coyote","ICIA","-0.56 (-1.06 - -0.04)","-1.48 (-2.80 - -0.32)"
"coyote","ININ","-0.63 (-1.04 - -0.21)","-1.29 (-2.33 - -0.45)"
"coyote","LBCA","-0.68 (-1.27 - -0.04)","-0.42 (-1.56 - 0.74)"
"coyote","MAKS","-0.22 (-0.61 - 0.20)","-1.16 (-2.26 - -0.04)"
"coyote","MAWI","-0.60 (-1.16 - -0.08)","-1.19 (-2.35 - -0.17)"
"foxsquirrel","AUTX","0.63 (-0.20 - 1.47)","2.16 (0.86 - 3.53)"
"foxsquirrel","CHIL","-0.75 (-1.12 - -0.39)","-0.20 (-0.48 - 0.09)"
"foxsquirrel","DECO","1.37 (0.70 - 2.09)","1.16 (0.36 - 2.07)"
"foxsquirrel","FOCO","1.13 (0.43 - 1.87)","1.60 (0.67 - 2.65)"
"foxsquirrel","ICIA","-0.90 (-1.52 - -0.26)","0.76 (-0.20 - 1.77)"
"foxsquirrel","ININ","0.74 (0.19 - 1.29)","0.71 (-0.11 - 1.59)"
"foxsquirrel","LBCA","-0.87 (-2.01 - 0.29)","0.95 (-0.34 - 2.29)"
"foxsquirrel","MAKS","-0.62 (-1.06 - -0.19)","2.43 (1.37 - 3.58)"
"foxsquirrel","MAWI","-2.97 (-5.38 - -0.99)","0.14 (-1.07 - 1.21)"
"graysquirrel","AUTX","-1.95 (-5.79 - 1.82)","0.80 (-1.45 - 3.30)"
"graysquirrel","CHIL","0.53 (0.18 - 0.88)","0.24 (-0.03 - 0.52)"
"graysquirrel","DECO","-0.49 (-2.96 - 2.00)","0.31 (-0.90 - 1.58)"
"graysquirrel","FOCO","-0.42 (-3.03 - 2.25)","-0.16 (-1.60 - 1.27)"
"graysquirrel","ICIA","0.02 (-0.51 - 0.58)","-0.30 (-1.36 - 0.74)"
"graysquirrel","ININ","-2.02 (-2.86 - -1.23)","-0.10 (-1.22 - 0.91)"
"graysquirrel","LBCA","-1.75 (-2.78 - -0.81)","1.26 (-0.20 - 2.71)"
"graysquirrel","MAKS","-0.64 (-4.07 - 2.95)","-0.16 (-2.32 - 2.02)"
"graysquirrel","MAWI","-0.07 (-0.76 - 0.59)","-0.30 (-1.04 - 0.40)"
"opossum","AUTX","-0.88 (-1.70 - -0.05)","-0.75 (-2.09 - 0.54)"
"opossum","CHIL","0.12 (-0.24 - 0.47)","-0.64 (-0.98 - -0.31)"
"opossum","DECO","-0.57 (-2.85 - 1.59)","-0.40 (-1.68 - 0.91)"
"opossum","FOCO","0.32 (-1.85 - 2.48)","-0.13 (-1.41 - 1.16)"
"opossum","ICIA","-0.15 (-0.70 - 0.41)","-0.37 (-1.54 - 0.65)"
"opossum","ININ","0.74 (0.21 - 1.27)","-0.15 (-1.01 - 0.90)"
"opossum","LBCA","-3.24 (-5.41 - -1.49)","-0.89 (-2.69 - 0.90)"
"opossum","MAKS","0.62 (0.22 - 1.03)","0.19 (-0.80 - 1.22)"
"opossum","MAWI","-0.15 (-0.82 - 0.53)","-0.40 (-1.18 - 0.35)"
"rabbit","AUTX","-1.83 (-3.28 - -0.42)","-1.84 (-3.88 - 0.15)"
"rabbit","CHIL","-0.32 (-0.64 - -0.01)","0.08 (-0.16 - 0.29)"
"rabbit","DECO","-0.58 (-1.01 - -0.12)","-0.49 (-1.30 - 0.21)"
"rabbit","FOCO","-0.36 (-0.75 - 0.09)","0.43 (-0.49 - 1.31)"
"rabbit","ICIA","-0.33 (-0.87 - 0.14)","0.43 (-0.77 - 1.56)"
"rabbit","ININ","-0.26 (-0.66 - 0.21)","-0.31 (-1.24 - 0.56)"
"rabbit","LBCA","-1.37 (-2.78 - 0.08)","-1.80 (-4.13 - 0.45)"
"rabbit","MAKS","-0.72 (-1.11 - -0.33)","1.07 (0.01 - 2.26)"
"rabbit","MAWI","0.05 (-0.43 - 0.59)","0.49 (-0.34 - 1.30)"
"raccoon","AUTX","0.20 (-0.53 - 0.91)","-0.50 (-1.63 - 0.55)"
"raccoon","CHIL","0.80 (0.43 - 1.16)","-0.52 (-0.81 - -0.24)"
"raccoon","DECO","-0.03 (-0.53 - 0.51)","-0.35 (-0.96 - 0.21)"
"raccoon","FOCO","0.87 (0.24 - 1.51)","0.38 (-0.47 - 1.36)"
"raccoon","ICIA","2.18 (1.34 - 3.07)","0.33 (-0.75 - 1.64)"
"raccoon","ININ","2.31 (1.49 - 3.17)","-0.10 (-1.08 - 0.94)"
"raccoon","LBCA","1.28 (0.47 - 2.12)","-0.50 (-1.83 - 0.69)"
"raccoon","MAKS","1.37 (0.89 - 1.84)","0.56 (-0.49 - 1.63)"
"raccoon","MAWI","-0.03 (-0.74 - 0.68)","-0.01 (-0.71 - 0.74)"
"redfox","AUTX","-3.79 (-7.19 - -0.70)","1.03 (-1.62 - 3.91)"
"redfox","CHIL","-1.88 (-4.00 - 0.25)","-0.90 (-2.78 - 0.68)"
"redfox","DECO","-1.70 (-3.14 - -0.02)","-0.09 (-1.48 - 1.18)"
"redfox","FOCO","-1.55 (-2.37 - -0.48)","0.80 (-0.37 - 2.23)"
"redfox","ICIA","-1.62 (-2.25 - -0.98)","0.03 (-1.34 - 1.35)"
"redfox","ININ","-2.05 (-2.72 - -1.36)","-0.25 (-1.38 - 0.91)"
"redfox","LBCA","-3.54 (-6.58 - -0.10)","-0.23 (-2.94 - 2.34)"
"redfox","MAKS","-1.81 (-2.42 - -1.26)","1.68 (0.46 - 3.02)"
"redfox","MAWI","-1.43 (-2.68 - -0.09)","-0.61 (-2.28 - 0.80)"
"skunk","AUTX","-1.54 (-3.11 - 0.11)","-0.90 (-3.21 - 1.37)"
"skunk","CHIL","-1.90 (-2.46 - -1.30)","-1.11 (-1.76 - -0.50)"
"skunk","DECO","-2.11 (-2.88 - -1.42)","-1.17 (-2.25 - -0.11)"
"skunk","FOCO","-1.95 (-2.64 - -1.31)","-0.44 (-1.81 - 0.81)"
"skunk","ICIA","-2.28 (-3.56 - -1.09)","-0.28 (-2.13 - 1.51)"
"skunk","ININ","-2.27 (-3.82 - -1.01)","-0.69 (-2.27 - 0.88)"
"skunk","LBCA","-1.72 (-2.93 - -0.59)","-2.38 (-4.62 - -0.51)"
"skunk","MAKS","-1.95 (-2.57 - -1.36)","0.17 (-1.28 - 1.52)"
"skunk","MAWI","-2.25 (-3.48 - -1.18)","-0.68 (-2.36 - 0.70)"
