"Species","parameter","species_there","estimate"
"coyote","AUTX-intercept","TRUE","-0.46 (-0.78 - -0.16)"
"coyote","CHIL-intercept","TRUE","-0.43 (-0.95 - 0.07)"
"coyote","DECO-intercept","TRUE","-0.45 (-0.83 - -0.08)"
"coyote","FOCO-intercept","TRUE","-0.49 (-0.89 - -0.11)"
"coyote","ICIA-intercept","TRUE","-0.50 (-0.94 - -0.07)"
"coyote","ININ-intercept","TRUE","-0.48 (-0.83 - -0.16)"
"coyote","LBCA-intercept","TRUE","-0.48 (-0.80 - -0.18)"
"coyote","MAKS-intercept","TRUE","-0.50 (-0.98 - -0.05)"
"coyote","MAWI-intercept","TRUE","-0.45 (-0.82 - -0.10)"
"coyote","WIDE-intercept","FALSE","-0.48 (-0.78 - -0.17)"
"coyote","AUTX-slope","TRUE","-0.87 (-1.20 - -0.54)"
"coyote","CHIL-slope","TRUE","-0.24 (-0.44 - -0.05)"
"coyote","DECO-slope","TRUE","-0.59 (-0.81 - -0.37)"
"coyote","FOCO-slope","TRUE","-1.53 (-2.20 - -0.90)"
"coyote","ICIA-slope","TRUE","-1.67 (-2.41 - -0.96)"
"coyote","ININ-slope","TRUE","-1.33 (-1.91 - -0.80)"
"coyote","LBCA-slope","TRUE","-1.22 (-1.71 - -0.72)"
"coyote","MAKS-slope","TRUE","-1.74 (-2.51 - -0.99)"
"coyote","MAWI-slope","TRUE","-0.65 (-0.90 - -0.41)"
"coyote","WIDE-slope","FALSE","-1.15 (-1.62 - -0.70)"
"coyote","Bmu",NA,"-0.47 (-0.78 - -0.18)"
"coyote","between_hden",NA,"0.02 (-0.23 - 0.28)"
"coyote","within_urb",NA,"-1.10 (-1.55 - -0.67)"
"coyote","hden_onurb",NA,"0.50 (0.23 - 0.77)"
"coyote","average_detection",NA,"-2.64 (-3.11 - -2.17)"
"coyote","AUTX-diff",NA,"-0.00 (-0.41 - 0.39)"
"coyote","CHIL-diff",NA,"0.02 (-0.36 - 0.48)"
"coyote","DECO-diff",NA,"0.02 (-0.32 - 0.51)"
"coyote","FOCO-diff",NA,"-0.02 (-0.55 - 0.32)"
"coyote","ICIA-diff",NA,"-0.01 (-0.46 - 0.35)"
"coyote","ININ-diff",NA,"-0.00 (-0.37 - 0.38)"
"coyote","LBCA-diff",NA,"-0.03 (-0.53 - 0.29)"
"coyote","MAKS-diff",NA,"0.06 (-0.21 - 0.63)"
"coyote","MAWI-diff",NA,"-0.02 (-0.55 - 0.34)"
"coyote","WIDE-diff",NA,"0.00 (-0.50 - 0.49)"
"foxsquirrel","AUTX-intercept","TRUE","0.16 (-1.29 - 1.58)"
"foxsquirrel","CHIL-intercept","TRUE","-0.05 (-1.63 - 1.52)"
"foxsquirrel","DECO-intercept","TRUE","0.05 (-0.81 - 0.90)"
"foxsquirrel","FOCO-intercept","TRUE","0.08 (-0.80 - 0.96)"
"foxsquirrel","ICIA-intercept","TRUE","0.02 (-0.98 - 1.03)"
"foxsquirrel","ININ-intercept","TRUE","0.01 (-1.09 - 1.12)"
"foxsquirrel","LBCA-intercept","TRUE","0.07 (-0.78 - 0.95)"
"foxsquirrel","MAKS-intercept","TRUE","0.17 (-1.38 - 1.79)"
"foxsquirrel","MAWI-intercept","FALSE","-0.02 (-1.31 - 1.31)"
"foxsquirrel","WIDE-intercept","FALSE","0.12 (-0.96 - 1.20)"
"foxsquirrel","AUTX-slope","TRUE","2.55 (1.73 - 3.41)"
"foxsquirrel","CHIL-slope","TRUE","-0.10 (-0.29 - 0.07)"
"foxsquirrel","DECO-slope","TRUE","1.22 (0.81 - 1.66)"
"foxsquirrel","FOCO-slope","TRUE","1.52 (1.02 - 2.05)"
"foxsquirrel","ICIA-slope","TRUE","0.75 (0.46 - 1.04)"
"foxsquirrel","ININ-slope","TRUE","0.56 (0.32 - 0.81)"
"foxsquirrel","LBCA-slope","TRUE","1.42 (0.95 - 1.91)"
"foxsquirrel","MAKS-slope","TRUE","2.74 (1.85 - 3.65)"
"foxsquirrel","MAWI-slope","FALSE","0.25 (0.06 - 0.44)"
"foxsquirrel","WIDE-slope","FALSE","2.01 (1.36 - 2.70)"
"foxsquirrel","Bmu",NA,"0.06 (-0.80 - 0.91)"
"foxsquirrel","between_prophab",NA,"0.08 (-0.82 - 0.96)"
"foxsquirrel","within_urb",NA,"1.29 (0.86 - 1.75)"
"foxsquirrel","probhab_onurb",NA,"0.95 (0.64 - 1.26)"
"foxsquirrel","average_detection",NA,"-1.83 (-2.53 - -1.09)"
"foxsquirrel","AUTX-diff",NA,"0.21 (-1.34 - 1.72)"
"foxsquirrel","CHIL-diff",NA,"-0.66 (-2.28 - 0.87)"
"foxsquirrel","DECO-diff",NA,"1.24 (0.19 - 2.34)"
"foxsquirrel","FOCO-diff",NA,"0.96 (-0.11 - 2.09)"
"foxsquirrel","ICIA-diff",NA,"-0.78 (-1.96 - 0.34)"
"foxsquirrel","ININ-diff",NA,"0.66 (-0.51 - 1.87)"
"foxsquirrel","LBCA-diff",NA,"-0.90 (-2.31 - 0.44)"
"foxsquirrel","MAKS-diff",NA,"-0.78 (-2.43 - 0.77)"
"foxsquirrel","MAWI-diff",NA,"-0.00 (-2.49 - 2.50)"
